Nome,Posicao,nationality,matches,goals
Agustín Delgado,Centroavante,Equador,37,12
Antonio Pacheco,Seg. Atacante,Uruguai,64,12
José María Franco,Centroavante,Uruguai,20,12
José Castillo,Centroavante,Bolívia,27,12
Cléber ChaláPonta Esquerda,,Equador,39,12
Julio César Baldivieso,Meia Ofensivo,Bolívia,51,12
Iván Valenciano,Centroavante,Colômbia,24,12
Miguel Neira,Meio-Campo,Chile,37,12
Luis Bonnet,Centroavante,Argentina,40,12
Alberto Gallardo,Ponta Esquerda,Perú,28,12
Rubén Insúa,Meia Ofensivo,Argentina,37,12
Diego Aguirre,Centroavante,Uruguai,29,12
Raúl Savoy,Meio-Campo,Argentina,39,12
Arsenio Luzardo,Meia Central,Uruguai,37,12
Ángel Rojas,Atacante,Argentina,31,12
Néstor Isella,Meio-Campo,Argentina,30,12
Juan Almada,Atacante,Argentina,23,12
Benicio Ferreira,Atacante,Paraguai,20,12
Sergio Angulo,Centroavante,Colômbia,30,12
Vasconcelos,Meio-Campo,Brasil,27,12
Oscar Fabbiani,Atacante,Chile,15,12
Freddy Bareiro,Centroavante,Paraguai,65,11
Diego,Meia Ofensivo,Brasil,63,11
Rodrigo Mora,Centroavante,Uruguai,58,11
Thiago Neves,Meia Ofensivo,Brasil,42,11
Alan Patrick,Meia Ofensivo,Brasil,25,11
Fernando Cavenaghi,Centroavante,Argentina,35,11
Edílson,Centroavante,Brasil,28,11
Federico Carrizo,Ponta Esquerda,Argentina,61,11
Elano,Meia Ofensivo,Brasil,55,11
Lucho González,Meia Central,Argentina,59,11
Alecsandro,Centroavante,Brasil,44,11
Jonathan Fabbro,Meia Ofensivo,Paraguai,34,11
Cristian Cásseres,Seg. Atacante,Venezuela,44,11
Everton,Ponta Esquerda,Brasil,59,11
Tressor Moreno,Centroavante,Colômbia,50,11
Kléber,Centroavante,Brasil,25,11
Borges,Centroavante,Brasil,39,11
Wallyson,Centroavante,Brasil,17,11
Elias,Meia Central,Brasil,40,11
Gaúcho,Centroavante,Brasil,18,11
Gerson Díaz,Meia Ofensivo,Venezuela,26,11
Alejandro Barberon,Centroavante,Argentina,35,11
Adriano,Centroavante,Brasil,20,11
Rodrigo Teixeira,Centroavante,Brasil,28,11
Mariano Pavone,Centroavante,Argentina,20,11
Cristian Martínez,Centroavante,Colômbia,34,11
Juan Cesar Silva,Atacante,Argentina,32,11
Zé Roberto,Meia Esquerda,Brasil,38,11
Nolberto Solano,Meia Direita,Perú,37,11
Aloisio Chulapa,Centroavante,Brasil,37,11
Rubén Sosa,Centroavante,Uruguai,27,11
Elkin Murillo,Centroavante,Colômbia,49,11
Arnoldo Iguarán,Centroavante,Colômbia,33,11
Juan Carlos Letelier,Centroavante,Chile,34,11
Nelinho,Lateral Dir.,Brasil,30,11
Albeiro Usuriaga,Centroavante,Colômbia,38,11
Ricardo Lunari,Ponta Direita,Argentina,63,11
Carlos Bueno,Centroavante,Uruguai,30,11
Guillermo La Rosa,Centroavante,Perú,29,11
Hugo Brizuela,Centroavante,Paraguai,31,11
Rafael Maceratesi,Centroavante,Argentina,14,11
Alberto Fouillioux,Seg. Atacante,Chile,51,11
José Sasía,Centroavante,Uruguai,28,11
Francisco Bertocchi,Atacante,Uruguai,18,11
Tupãzinho,Ponta Esquerda,Brasil,14,11
Gabriel González,Meia Ofensivo,Paraguai,58,11
Luis Alberto Acosta,Meia Esquerda,Uruguai,24,11
Jorge Ramírez,Atacante,Colômbia,31,11
Hugo Ovelar,Ponta Direita,Paraguai,19,11
Dudu,Ponta Esquerda,Brasil,70,10
Damián Díaz,Meia Ofensivo,Equador,57,10
Nicolás de la Cruz,Meia Central,Uruguai,61,10
Írven Ávila,Centroavante,Perú,51,10
Dagoberto,Centroavante,Brasil,47,10
Juan Salgueiro,Seg. Atacante,Uruguai,41,10
Souza,Meia Ofensivo,Brasil,48,10
Müller,Seg. Atacante,Brasil,30,10
Lucas Janson,Ponta Esquerda,Argentina,28,10
Luiz Adriano,Centroavante,Brasil,28,10
Juan Martín Lucero,Centroavante,Argentina,32,10
Vladimir Marín,Lateral Esq.,Colômbia,50,10
Vicente Sánchez,Ponta Esquerda,Uruguai,34,10
Alfredo Moreno,Centroavante,Argentina,30,10
Andrés Silvera,Centroavante,Argentina,26,10
Martín Cauteruccio,Centroavante,Uruguai,26,10
